movie_display_name,movie_production_year,movie_odid,movie_financial_summary_production_budget,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,production_date_year,movie_creative_type_display_name,movie_source_display_name,movie_production_method_display_name,movie_genre_display_name,movie_sequel,movie_running_time
Zwartboek,2007,48080100,22000000,4398532,22839822,2007-01-01,Historical Fiction,Based on Real Life Events,Live Action,Thriller/Suspense,0,
The Transporter Refueled,2015,213560100,22000000,16029670,53668825,2015-01-01,Contemporary Fiction,Original Screenplay,Live Action,Action,0,96
The Hundred-Foot Journey,2014,193490100,22000000,54235441,40035047,2014-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Romantic Comedy,0,122
The Game Plan,2007,4840100,22000000,90648202,55942785,2007-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,110
Joyeux Noël,2006,61080100,22000000,1054361,22079714,2006-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,
Igor,2008,25710100,22000000,19528602,11484747,2008-01-01,Kids Fiction,Original Screenplay,Digital Animation,Comedy,0,
I Heart Huckabees,2004,33300100,22000000,12784713,7250000,2004-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,105
The Libertine,2005,46940100,22000000,4835065,4613558,2005-01-01,Historical Fiction,Based on Play,Live Action,Drama,0,114
Son of God,2013,198790100,22000000,59700064,11249729,2013-01-01,Dramatization,Based on Religious Text,Live Action,Drama,0,138
Underworld,2003,10430100,22000000,51970690,43737767,2003-01-01,Contemporary Fiction,Original Screenplay,Live Action,Action,0,121
The Water Diviner,2014,220200100,22500000,4200117,26664532,2014-01-01,Historical Fiction,Original Screenplay,Live Action,Drama,0,112
1408,2007,129960100,22500000,71975611,59277742,2007-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Horror,0,104
Haywire,2011,162960100,23000000,18942396,17432304,2011-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,93
Someone Like You,2001,20060100,23000000,27338033,11346873,2001-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Romantic Comedy,0,97
Rogue,2008,95820100,23000000,10452,4662925,2008-01-01,Contemporary Fiction,Original Screenplay,Live Action,Horror,0,99
Redemption,2013,187110100,23000000,36686,13556787,2013-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,100
The Longshots,2008,34920100,23000000,11511323,267073,2008-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,
Her,2013,192820100,23000000,25568251,23214839,2013-01-01,Science Fiction,Original Screenplay,Live Action,Drama,0,119
Chasing Liberty,2004,33990100,23000000,12189514,102461,2004-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,
In the Valley of Elah,2007,42850100,23000000,6777741,17711409,2007-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,121
Vanity Fair,2004,29060100,23000000,16123851,3000000,2004-01-01,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,
Eddie the Eagle,2015,226600100,23000000,15736287,24648239,2015-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,105
Coco avant Chanel,2009,108930100,23000000,6113834,44700000,2009-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,
The Ides of March,2011,158400100,23000000,40962534,36773391,2011-01-01,Contemporary Fiction,Based on Play,Live Action,Drama,0,101
Zombieland,2009,105270100,23600000,75590286,26646310,2009-01-01,Fantasy,Original Screenplay,Live Action,Comedy,0,87
The Men Who Stare at Goats,2009,109740100,24000000,32428195,34920023,2009-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Black Comedy,0,94
Beyond the Sea,2004,43990100,24000000,6144806,2148108,2004-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,
Zack and Miri Make a Porno,2008,18110100,24000000,31457946,5398360,2008-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,101
Think Like a Man Too,2014,190170100,24000000,65028687,4999246,2014-01-01,Contemporary Fiction,Based on Factual Book/Article,Live Action,Romantic Comedy,1,105
I Don't Know How She Does It,2011,150530100,24000000,9659074,14815389,2011-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0,89
