id,raw_budget,raw_revenue
10806,"$35,000,000","$19,400,000"
6623,"$50,000,000","$60,600,000"
2118,"$35,000,000","$46,000,000"
978,"$70,000,000","$93,500,000"
9437,"$27,000,000","$24,500,000"
2649,"$50,000,000","$61,100,000"
14289,"$60,000,000","$4,000,000"
9427,"$3,500,000","$198,100,000"
3597,"$17,000,000","$20,300,000"
1813,"$57,000,000","$92,000,000"
782,"$36,000,000","$3,600,000"
8067,"$12,000,000","$4,700,000"
1281,"$22,000,000","$182,700,000"
12616,"$24,000,000","$5,600,000"
4995,"$15,000,000","$9,400,000"
563,"$105,000,000","$65,000,000"
9823,"$30,000,000","$51,376,861"
37165,"$60,000,000","$113,400,000"
9407,"$48,000,000","$612,335"
4824,"$60,000,000","$84,000,000"
9444,"$50,000,000","$64,900,000"
8078,"$75,000,000","$105,300,000"
11831,"$36,000,000","$16,200,000"
9574,"$80,000,000","$85,000,000"
489,"$10,000,000","$76,200,000"
9714,"$32,000,000","$17,700,000"
6283,"$38,000,000","$50,000,000"
4233,"$24,000,000","$59,200,000"
597,"$200,000,000","$2,186,772,302"
714,"$110,000,000","$333,011,068"
547,"$60,000,000","$68,300,000"
184,"$12,000,000","$33,000,000"
9438,"$30,000,000","$7,500,000"
115,"$15,000,000","$10,300,000"
9410,"$25,000,000","$55,494,066"
586,"$15,000,000","$64,217,092"
2666,"$27,000,000","$27,200,316"
11258,"$70,000,000","$2,600,000"
6116,"$25,000,000","$26,700,000"
11702,"$30,000,000","$12,200,000"
11568,"$28,000,000","$26,000,000"
11003,"$18,000,000","$43,061,262"
10153,"$80,000,000","$13,100,000"
2898,"$50,000,000","$132,700,000"
11808,"$60,000,000","$31,000,000"
9313,"$35,000,000","$16,700,000"
9440,"$65,000,000","$52,055,057"
2157,"$80,000,000","$136,159,423"
8838,"$60,000,000","$49,300,000"
795,"$55,000,000","$101,700,000"
9449,"$29,000,000","$24,000,000"
8656,"$75,000,000","$180,500,000"
18937,"$40,000,000","$15,400,000"
929,"$130,000,000","$221,600,000"
9715,"$30,000,000","$6,800,000"
1965,"$60,000,000","$32,000,000"
6068,"$70,000,000","$90,500,000"
10674,"$90,000,000","$116,300,000"
846,"$66,000,000","$99,700,000"
3050,"$71,500,000","$117,000,000"
1389,"$48,000,000","$9,100,000"
95,"$140,000,000","$553,709,788"
944,"$140,000,000","$138,400,000"
11551,"$40,000,000","$16,600,000"
544,"$23,000,000","$140,500,000"
65203,"$379,000","$1,558,000"
33680,"$700,000","$1,359,000"
56164,"$1,180,280","$8,000,000"
12311,"$1,950,000","$11,351,454"
34106,"$1,644,736","$5,295,526"
27367,"$1,344,000","$21,173,600"
887,"$2,100,000","$44,309,982"
5769,"$1,000,000","$50,000,000"
17917,"$10,000,000","$40,000,000"
3116,"$3,600,000","$8,000,000"
1366,"$960,000","$225,000,000"
606,"$31,000,000","$266,185,197"
380,"$25,000,000","$354,825,435"
403,"$7,500,000","$145,793,296"
466,"$2,500,000","$12,512,637"
13820,"$1,500,000","$3,750,080"
2108,"$1,000,000","$51,525,171"
4488,"$550,000","$59,754,601"
948,"$300,000","$60,000,000"
11281,"$2,500,000","$25,533,818"
10585,"$9,000,000","$44,196,684"
11186,"$13,000,000","$7,262,000"
11187,"$13,000,000","$5,600,000"
609,"$10,700,000","$123,606,280"
9552,"$12,000,000","$357,500,000"
941,"$15,000,000","$120,207,127"
942,"$28,000,000","$227,853,986"
943,"$35,000,000","$319,700,000"
9342,"$65,000,000","$101,300,000"
165,"$40,000,000","$213,500,000"
196,"$40,000,000","$243,700,000"
242,"$54,000,000","$136,766,062"
9835,"$10,000,000","$30,182,538"
857,"$70,000,000","$481,840,909"
11158,"$40,000,000","$76,000,000"
9354,"$18,000,000","$222,724,172"
9631,"$50,000,000","$4,400,000"
9325,"$4,000,000","$205,800,000"
10144,"$40,000,000","$211,343,479"
12230,"$4,000,000","$215,880,014"
11335,"$20,000,000","$60,000,000"
11135,"$30,000,000","$47,431,461"
41841,"$32,000,000","$11,000,000"
87,"$28,000,000","$333,107,271"
2907,"$30,000,000","$191,502,426"
9454,"$26,000,000","$98,005,666"
8688,"$73,000,000","$48,306,020"
23954,"$7,200,000","$12,729,678"
396,"$7,500,000","$40,000,000"
11814,"$7,500,000","$38,934,048"
8393,"$5,000,000","$60,000,000"
9320,"$60,000,000","$25,200,000"
34584,"$27,000,000","$100,000,000"
36647,"$45,000,000","$42,600,000"
573,"$2,000,000","$16,000,000"
117,"$25,000,000","$106,240,936"
37498,"$35,000,000","$44,000,000"
12626,"$20,000,000","$67,331,309"
3525,"$28,000,000","$103,173,635"
10699,"$42,000,000","$66,807,345"
881,"$40,000,000","$243,240,178"
4478,"$38,000,000","$160,000,000"
2109,"$33,000,000","$244,386,864"
8195,"$55,000,000","$70,697,479"
9877,"$14,000,000","$72,527,595"
10403,"$8,000,000","$28,876,701"
162,"$20,000,000","$86,024,005"
8916,"$105,000,000","$61,700,000"
12159,"$85,000,000","$71,485,043"
10377,"$11,000,000","$64,088,552"
11932,"$25,000,000","$50,671,850"
6435,"$48,000,000","$68,169,816"
2657,"$40,000,000","$49,789,066"
637,"$20,000,000","$229,163,264"
73,"$7,500,000","$23,875,127"
9882,"$70,000,000","$116,672,912"
10663,"$20,000,000","$28,700,000"
4518,"$30,000,000","$34,000,000"
3600,"$24,000,000","$84,002,112"
297,"$90,000,000","$142,940,100"
9798,"$90,000,000","$250,649,836"
14444,"$24,000,000","$140,894,675"
9487,"$120,000,000","$363,398,565"
10162,"$3,000,000","$43,515,982"
692,"$10,000","$1,250,000"
1678,"$175,000","$4,662,520"
39256,"$2,000,000","$14,852,242"
10730,"$24,000,000","$90,614,445"
9749,"$8,000,000","$59,612,888"
14628,"$8,000,000","$39,450,960"
10466,"$10,000,000","$54,999,651"
707,"$30,000,000","$152,627,960"
9447,"$80,000,000","$50,812,000"
11252,"$60,000,000","$37,141,130"
9745,"$85,000,000","$68,760,009"
200,"$58,000,000","$119,000,000"
9837,"$70,000,000","$117,200,000"
1934,"$25,000,000","$289,317,794"
1369,"$44,000,000","$300,400,432"
1368,"$15,000,000","$125,212,904"
1370,"$63,000,000","$135,300,000"
10303,"$25,000,000","$96,773,200"
9326,"$10,000,000","$115,078,260"
10328,"$17,500,000","$85,313,124"
11285,"$17,500,000","$25,024,919"
1367,"$7,000,000","$200,182,160"
1371,"$17,000,000","$270,000,000"
1374,"$30,000,000","$300,400,000"
1375,"$42,000,000","$79,000,000"
9489,"$65,000,000","$250,821,495"
8741,"$52,000,000","$98,126,565"
10312,"$90,000,000","$202,292,902"
9441,"$50,000,000","$159,710,793"
14709,"$16,000,000","$82,891,003"
9423,"$75,000,000","$30,626,690"
10658,"$35,000,000","$37,962,774"
9426,"$15,000,000","$20,172,594"
9671,"$8,800,000","$360,000,000"
9396,"$14,000,000","$239,700,000"
10015,"$15,000,000","$79,000,000"
10314,"$10,000,000","$103,166,989"
2112,"$90,000,000","$161,626,121"
11622,"$35,000,000","$40,246,517"
10207,"$80,000,000","$51,100,000"
1542,"$10,000,000","$12,800,000"
8224,"$40,000,000","$96,618,699"
5919,"$14,000,000","$139,700,000"
9535,"$80,000,000","$35,000,000"
796,"$10,500,000","$75,902,208"
30943,"$38,000,000","$27,655,433"
7341,"$21,000,000","$2,400,000"
11773,"$200,000","$2,175,000"
22345,"$12,000,000","$36,341,959"
1641,"$75,000,000","$33,800,000"
11374,"$80,000,000","$8,300,000"
603,"$63,000,000","$203,600,000"
11355,"$25,000,000","$84,565,230"
6522,"$80,000,000","$73,521,587"
1844,"$66,000,000","$212,404,396"
3309,"$1,453,000","$2,155,000"
8592,"$47,000,000","$162,738,726"
564,"$80,000,000","$415,933,406"
1893,"$115,000,000","$506,618,295"
15660,"$5,000,000","$25,032,261"
1924,"$55,000,000","$300,218,018"
509,"$42,000,000","$247,000,000"
817,"$33,000,000","$70,200,000"
37135,"$130,000,000","$448,191,819"
2275,"$95,000,000","$149,705,852"
9032,"$34,200,000","$2,000,000"
9473,"$21,000,000","$6,000,000"
8487,"$170,000,000","$108,300,000"
2105,"$11,000,000","$235,483,004"
1073,"$31,000,000","$41,067,311"
10208,"$24,000,000","$22,323,612"
2667,"$60,000","$108,100,000"
345,"$65,000,000","$160,637,680"
9825,"$35,000,000","$25,100,000"
620,"$30,000,000","$291,632,124"
2978,"$37,000,000","$215,394,738"
11618,"$80,000,000","$85,900,000"
332,"$90,000,000","$6,100,000"
8914,"$60,000,000","$91,000,000"
4806,"$70,000,000","$9,700,000"
967,"$12,000,000","$60,000,000"
3175,"$11,000,000","$31,500,000"
873,"$15,000,000","$146,292,009"
10386,"$70,000,000","$80,000,000"
745,"$40,000,000","$672,806,292"
913,"$48,000,000","$55,000,000"
11353,"$55,000,000","$98,625,775"
813,"$3,500,000","$130,000,000"
2280,"$18,000,000","$151,668,774"
11077,"$10,000,000","$72,270,900"
10396,"$23,000,000","$105,932,000"
9944,"$45,000,000","$195,268,056"
10154,"$75,000,000","$54,264,342"
10366,"$45,000,000","$19,912,120"
9349,"$23,000,000","$65,700,000"
1911,"$160,000,000","$29,000,000"
10307,"$29,000,000","$89,446,268"
14,"$15,000,000","$356,296,601"
11001,"$65,000,000","$117,758,500"
10974,"$15,000,000","$4,545,431"
10398,"$70,000,000","$177,841,558"
14429,"$8,500,000","$4,748,072"
6415,"$75,000,000","$107,752,036"
12618,"$64,000,000","$74,160,911"
861,"$65,000,000","$261,299,840"
19997,"$1,250,000","$6,000,000"
535,"$4,000,000","$205,900,000"
658,"$3,000,000","$73,800,000"
657,"$2,000,000","$78,900,000"
646,"$1,100,000","$43,500,000"
772,"$18,000,000","$358,991,681"
550,"$63,000,000","$71,000,000"
16162,"$9,000,000","$34,573,780"
856,"$70,000,000","$195,000,000"
699,"$28,000,000","$195,300,000"
709,"$32,000,000","$121,500,000"
253,"$7,000,000","$91,000,000"
660,"$9,000,000","$141,200,000"
2020,"$51,000,000","$36,822,378"
9481,"$73,000,000","$151,493,655"
9008,"$68,000,000","$60,289,912"
24831,"$600,000","$16,000,000"
25560,"$4,000,000","$12,000,000"
21610,"$5,000,000","$19,900,000"
62204,"$12,500,000","$55,260,558"
10047,"$85,000,000","$52,700,000"
10228,"$30,000,000","$163,644,662"
9289,"$10,000,000","$50,000,000"
77915,"$5,300,000","$14,000,000"
2668,"$100,000,000","$105,000,000"
36643,"$135,000,000","$361,832,400"
10998,"$14,000,000","$320,145,693"
9013,"$30,000,000","$81,613,606"
2924,"$75,000,000","$152,368,585"
9946,"$100,000,000","$211,989,043"
863,"$90,000,000","$485,015,179"
55123,"$312,000","$1,788,168"
31681,"$4,150,000","$3,230,000"
10402,"$17,000,000","$92,938,755"
497,"$60,000,000","$286,801,374"
1715,"$24,000,000","$88,545,092"
1439,"$92,000,000","$113,996,937"
2277,"$100,000,000","$93,700,000"
10137,"$133,000,000","$300,135,367"
49948,"$80,000,000","$90,874,570"
334,"$37,000,000","$48,451,803"
624,"$400,000","$60,000,000"
9563,"$55,000,000","$100,230,832"
926,"$45,000,000","$90,683,916"
1213,"$40,000,000","$128,798,265"
10471,"$11,000,000","$59,827,328"
10400,"$50,000,000","$73,956,241"
3558,"$40,000,000","$48,350,205"
71067,"$400,000","$927,953"
632,"$1,661,530","$10,000,000"
2990,"$18,000,000","$44,926,706"
75531,"$44,000,000","$40,831"
2005,"$31,000,000","$92,000,000"
9475,"$31,000,000","$134,895,607"
8872,"$20,000,000","$61,400,000"
11287,"$40,000,000","$132,440,069"
9869,"$45,000,000","$178,000,000"
619,"$25,000,000","$289,000,000"
9374,"$55,000,000","$90,600,000"
11259,"$60,000,000","$137,783,840"
9367,"$7,000","$2,041,928"
9876,"$45,000,000","$42,200,000"
12143,"$1,000,000","$2,527,895"
4234,"$40,000,000","$72,691,101"
1907,"$50,000,000","$144,056,873"
15489,"$13,000,000","$62,464,731"
15655,"$30,000,000","$96,159,800"
10385,"$60,000,000","$51,880,044"
2787,"$23,000,000","$53,187,659"
2069,"$41,300,000","$106,371,651"
11004,"$55,000,000","$8,312,406"
25166,"$6,000,000","$747,934"
1831,"$25,000,000","$24,362,772"
2067,"$100,000,000","$45,125,385"
622,"$38,000,000","$58,401,898"
838,"$777,000","$140,000,000"
16958,"$1,232,000","$2,137,000"
8333,"$5,000,000","$18,700,000"
820,"$40,000,000","$205,405,498"
462,"$52,000,000","$256,271,286"
9532,"$23,000,000","$112,880,294"
14373,"$2,000,000","$45,000,000"
24873,"$9,000,000","$16,945,171"
1498,"$13,500,000","$201,965,915"
33762,"$8,700,000","$5,387,430"
36652,"$2,800,000","$3,557,000"
1879,"$4,000,000","$70,000,000"
2085,"$25,000,000","$91,036,760"
840,"$20,000,000","$303,788,635"
10501,"$95,000,000","$76,529,181"
879,"$70,000,000","$300,854,823"
10747,"$3,700,000","$38,000,000"
10559,"$31,000,000","$23,095,967"
10479,"$60,000,000","$71,732,303"
106,"$15,000,000","$98,235,548"
11027,"$12,000,000","$44,376,625"
10468,"$43,000,000","$62,198,945"
1359,"$7,000,000","$19,196,279"
4967,"$29,000,000","$59,945,183"
10242,"$980,000","$9,000,000"
18041,"$24,000,000","$12,591,270"
3536,"$62,000,000","$127,666,415"
1443,"$6,000,000","$5,503,148"
889,"$83,000,000","$59,468,275"
98,"$103,000,000","$457,640,427"
5491,"$73,000,000","$8,253,978"
18228,"$2,000,000","$10,440,453"
31516,"$2,111,250","$4,440,000"
10567,"$127,500,000","$354,248,063"
10642,"$20,000,000","$2,786,080"
9285,"$16,000,000","$119,754,278"
955,"$125,000,000","$546,388,105"
8584,"$55,000,000","$99,274,467"
30588,"$2,000,000","$1,500,000"
668,"$7,000,000","$59,200,000"
691,"$14,000,000","$138,600,000"
698,"$34,000,000","$210,308,099"
682,"$13,000,000","$76,600,000"
9600,"$30,000,000","$173,959,438"
2768,"$4,800,000","$53,000,000"
169,"$35,000,000","$57,120,318"
10128,"$16,000,000","$32,155,047"
9659,"$200,000","$100,000,000"
1727,"$20,000,000","$138,699,000"
9679,"$90,000,000","$129,477,395"
5121,"$3,000,000","$5,300,000"
10571,"$35,000,000","$4,050,963"
479,"$46,000,000","$107,196,498"
7450,"$75,000,000","$14,001,208"
7443,"$45,000,000","$224,834,564"
2123,"$51,000,000","$149,270,999"
2024,"$110,000,000","$215,294,342"
2133,"$140,000,000","$143,138,203"
11598,"$650,000","$5,000,000"
12764,"$2,410,000","$4,180,000"
4244,"$65,000,000","$110,317,580"
4247,"$19,000,000","$278,019,771"
20770,"$1,200,000","$389,589"
1052,"$1,800,000","$20,000,000"
36657,"$75,000,000","$296,339,527"
2655,"$100,000,000","$94,002,283"
12599,"$30,000,000","$133,949,270"
12107,"$84,000,000","$38,322,845"
10641,"$65,000,000","$90,726,668"
6282,"$45,000,000","$40,774,230"
9383,"$95,000,000","$191,200,000"
5551,"$65,000,000","$128,884,132"
10393,"$50,000,000","$50,054,511"
8843,"$33,000,000","$42,821,784"
10643,"$13,000,000","$24,522,891"
23618,"$13,000,000","$38,251,106"
1588,"$11,000,000","$90,449,929"
10480,"$24,000,000","$2,133,268"
1619,"$8,500,000","$7,014,079"
786,"$60,000,000","$47,383,689"
12212,"$14,000,000","$38,574,362"
16,"$12,800,000","$40,031,879"
10637,"$30,000,000","$136,706,683"
20455,"$5,000,000","$16,643,191"
10461,"$63,600,000","$4,445,811"
1597,"$55,000,000","$330,444,045"
641,"$4,500,000","$3,754,626"
6521,"$20,000,000","$22,361,811"
10763,"$23,000,000","$22,844,291"
10383,"$50,000,000","$31,355,910"
2134,"$750,000","$2,610,000"
71,"$5,000,000","$87,285,000"
1636,"$48,000,000","$90,383,208"
10647,"$40,000,000","$55,707,411"
12207,"$10,000,000","$311,546,543"
11531,"$15,000,000","$47,737,094"
4327,"$93,000,000","$264,105,545"
9678,"$85,000,000","$58,292,295"
