id,budget,revenue
14709,16000000,82891003
9423,75000000,30626690
10658,35000000,37962774
9426,15000000,20172594
9671,8800000,360000000
9396,14000000,239700000
10015,15000000,79000000
10314,10000000,103166989
2112,90000000,161626121
11622,35000000,40246517
10207,80000000,51100000
1542,10000000,12800000
8224,40000000,96618699
5919,14000000,139700000
9535,80000000,35000000
796,10500000,75902208
30943,38000000,27655433
7341,21000000,2400000
11773,200000,2175000
22345,12000000,36341959
1641,75000000,33800000
11374,80000000,8300000
603,63000000,203600000
11355,25000000,84565230
6522,80000000,73521587
1844,66000000,212404396
8592,47000000,162738726
564,80000000,415933406
1893,115000000,506618295
15660,5000000,25032261
1924,55000000,300218018
509,42000000,247000000
817,33000000,70200000
37135,130000000,448191819
2275,95000000,149705852
9032,34200000,2000000
9473,21000000,6000000
8487,170000000,108300000
2105,11000000,235483004
1073,31000000,41067311
10208,24000000,22323612
2667,60000,108100000
345,65000000,160637680
9825,35000000,25100000
620,30000000,291632124
2978,37000000,215394738
11618,80000000,85900000
332,90000000,6100000
8914,60000000,91000000
4806,70000000,9700000
967,12000000,60000000
3175,11000000,31500000
873,15000000,146292009
10386,70000000,80000000
745,40000000,672806292
913,48000000,55000000
11353,55000000,98625775
813,3500000,130000000
2280,18000000,151668774
11077,10000000,72270900
10396,23000000,105932000
9944,45000000,195268056
10154,75000000,54264342
10366,45000000,19912120
9349,23000000,65700000
1911,160000000,29000000
10307,29000000,89446268
14,15000000,356296601
11001,65000000,117758500
10974,15000000,4545431
10398,70000000,177841558
14429,8500000,4748072
6415,75000000,107752036
12618,64000000,74160911
861,65000000,261299840
535,4000000,205900000
658,3000000,73800000
657,2000000,78900000
646,1100000,43500000
772,18000000,358991681
550,63000000,71000000
16162,9000000,34573780
856,70000000,195000000
699,28000000,195300000
709,32000000,121500000
253,7000000,91000000
660,9000000,141200000
2020,51000000,36822378
9481,73000000,151493655
9008,68000000,60289912
24831,600000,16000000
25560,4000000,12000000
21610,5000000,19900000
62204,12500000,55260558
10047,85000000,52700000
10228,30000000,163644662
9289,10000000,50000000
77915,5300000,14000000
2668,100000000,105000000
36643,135000000,361832400
10998,14000000,320145693
9013,30000000,81613606
2924,75000000,152368585
9946,100000000,211989043
863,90000000,485015179
55123,312000,1788168
31681,4150000,3230000
10402,17000000,92938755
497,60000000,286801374
1715,24000000,88545092
1439,92000000,113996937
2277,100000000,93700000
10137,133000000,300135367
49948,80000000,90874570
334,37000000,48451803
624,400000,60000000
9563,55000000,100230832
926,45000000,90683916
1213,40000000,128798265
10471,11000000,59827328
10400,50000000,73956241
3558,40000000,48350205
71067,400000,927953
632,1661530,10000000
2990,18000000,44926706
75531,44000000,40831
2005,31000000,92000000
9475,31000000,134895607
8872,20000000,61400000
11287,40000000,132440069
9869,45000000,178000000
619,25000000,289000000
9374,55000000,90600000
11259,60000000,137783840
9367,7000,2041928
9876,45000000,42200000
12143,1000000,2527895
4234,40000000,72691101
1907,50000000,144056873
15489,13000000,62464731
15655,30000000,96159800
10385,60000000,51880044
2787,23000000,53187659
2069,41300000,106371651
11004,55000000,8312406
25166,6000000,747934
1831,25000000,24362772
2067,100000000,45125385
622,38000000,58401898
838,777000,140000000
16958,1232000,2137000
8333,5000000,18700000
820,40000000,205405498
462,52000000,256271286
9532,23000000,112880294
14373,2000000,45000000
24873,9000000,16945171
1498,13500000,201965915
33762,8700000,5387430
1879,4000000,70000000
2085,25000000,91036760
840,20000000,303788635
10501,95000000,76529181
879,70000000,300854823
10747,3700000,38000000
10559,31000000,23095967
10479,60000000,71732303
106,15000000,98235548
11027,12000000,44376625
10468,43000000,62198945
1359,7000000,19196279
4967,29000000,59945183
10242,980000,9000000
18041,24000000,12591270
3536,62000000,127666415
1443,6000000,5503148
889,83000000,59468275
98,103000000,457640427
5491,73000000,8253978
18228,2000000,10440453
10567,127500000,354248063
10642,20000000,2786080
9285,16000000,119754278
955,125000000,546388105
8584,55000000,99274467
30588,2000000,1500000
668,7000000,59200000
691,14000000,138600000
698,34000000,210308099
682,13000000,76600000
9600,30000000,173959438
2768,4800000,53000000
169,35000000,57120318
10128,16000000,32155047
9659,200000,100000000
1727,20000000,138699000
9679,90000000,129477395
5121,3000000,5300000
10571,35000000,4050963
479,46000000,107196498
7450,75000000,14001208
7443,45000000,224834564
2123,51000000,149270999
2024,110000000,215294342
2133,140000000,143138203
11598,650000,5000000
12764,2410000,4180000
4244,65000000,110317580
4247,19000000,278019771
20770,1200000,389589
1052,1800000,20000000
36657,75000000,296339527
2655,100000000,94002283
12599,30000000,133949270
12107,84000000,38322845
10641,65000000,90726668
6282,45000000,40774230
9383,95000000,191200000
5551,65000000,128884132
10393,50000000,50054511
8843,33000000,42821784
10643,13000000,24522891
23618,13000000,38251106
1588,11000000,90449929
10480,24000000,2133268
1619,8500000,7014079
786,60000000,47383689
12212,14000000,38574362
16,12800000,40031879
10637,30000000,136706683
20455,5000000,16643191
10461,63600000,4445811
1597,55000000,330444045
641,4500000,3754626
6521,20000000,22361811
10763,23000000,22844291
10383,50000000,31355910
2134,750000,2610000
71,5000000,87285000
1636,48000000,90383208
10647,40000000,55707411
12207,10000000,311546543
