n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,bootstrap,criterion,result
10,3,1,5,3,True,entropy,0.593240223479
15,3,1,5,3,True,entropy,0.603810438761
20,3,1,5,3,True,entropy,0.628013983658
10,3,1,10,3,True,entropy,0.58416974035
15,3,1,10,3,True,entropy,0.629300570484
20,3,1,10,3,True,entropy,0.684415966138
10,3,1,2,10,True,entropy,0.588243545247
15,3,1,2,10,True,entropy,0.648471282047
20,3,1,2,10,True,entropy,0.635056538077
10,3,1,3,10,True,entropy,0.615207820881
15,3,1,3,10,True,entropy,0.558499404826
20,3,1,3,10,True,entropy,0.576721400244
10,3,1,5,10,True,entropy,0.540897940015
15,3,1,5,10,True,entropy,0.594643354889
20,3,1,5,10,True,entropy,0.648176101904
10,3,1,10,10,True,entropy,0.546519790042
15,3,1,10,10,True,entropy,0.621759435438
20,3,1,10,10,True,entropy,0.699433362953
10,3,3,2,1,True,entropy,0.698564964476
15,3,3,2,1,True,entropy,0.736000424086
20,3,3,2,1,True,entropy,0.737127532184
10,3,3,3,1,True,entropy,0.701637175725
15,3,3,3,1,True,entropy,0.739422299503
20,3,3,3,1,True,entropy,0.714769874513
10,3,3,5,1,True,entropy,0.705953292507
15,3,3,5,1,True,entropy,0.665335661504
20,3,3,5,1,True,entropy,0.726873916921
10,3,3,10,1,True,entropy,0.672905121502
15,3,3,10,1,True,entropy,0.686297052685
20,3,3,10,1,True,entropy,0.710628703133
10,3,3,2,3,True,entropy,0.673048217066
15,3,3,2,3,True,entropy,0.70224386717
20,3,3,2,3,True,entropy,0.728806082475
10,3,3,3,3,True,entropy,0.691663692914
15,3,3,3,3,True,entropy,0.727670750955
20,3,3,3,3,True,entropy,0.689007472565
10,3,3,5,3,True,entropy,0.666335158326
15,3,3,5,3,True,entropy,0.664713676394
20,3,3,5,3,True,entropy,0.723689253994
10,3,3,10,3,True,entropy,0.725279395413
15,3,3,10,3,True,entropy,0.667336783352
20,3,3,10,3,True,entropy,0.682184770253
10,3,3,2,10,True,entropy,0.697149459758
15,3,3,2,10,True,entropy,0.703719854171
20,3,3,2,10,True,entropy,0.703190936875
10,3,3,3,10,True,entropy,0.60936946328
15,3,3,3,10,True,entropy,0.748846198369
20,3,3,3,10,True,entropy,0.715622196317
10,3,3,5,10,True,entropy,0.643761209225
15,3,3,5,10,True,entropy,0.679001452834
20,3,3,5,10,True,entropy,0.676840775571
10,3,3,10,10,True,entropy,0.667435822169
15,3,3,10,10,True,entropy,0.667772902247
20,3,3,10,10,True,entropy,0.666539331833
10,3,10,2,1,True,entropy,0.73587832575
15,3,10,2,1,True,entropy,0.768720936191
20,3,10,2,1,True,entropy,0.768040694083
10,3,10,3,1,True,entropy,0.756553268221
15,3,10,3,1,True,entropy,0.754079134798
20,3,10,3,1,True,entropy,0.756717791212
10,3,10,5,1,True,entropy,0.725600188405
15,3,10,5,1,True,entropy,0.766863323196
20,3,10,5,1,True,entropy,0.750055434915
10,3,10,10,1,True,entropy,0.73821332481
15,3,10,10,1,True,entropy,0.749333822411
20,3,10,10,1,True,entropy,0.771587722661
10,3,10,2,3,True,entropy,0.730064751413
15,3,10,2,3,True,entropy,0.749503749963
20,3,10,2,3,True,entropy,0.766242135012
10,3,10,3,3,True,entropy,0.732684776841
15,3,10,3,3,True,entropy,0.750648406336
20,3,10,3,3,True,entropy,0.764710694092
10,3,10,5,3,True,entropy,0.697305396076
15,3,10,5,3,True,entropy,0.762015243791
20,3,10,5,3,True,entropy,0.743999452613
10,3,10,10,3,True,entropy,0.764201023289
15,3,10,10,3,True,entropy,0.746227789333
20,3,10,10,3,True,entropy,0.757503015838
10,3,10,2,10,True,entropy,0.748202710357
15,3,10,2,10,True,entropy,0.743297336995
20,3,10,2,10,True,entropy,0.743881316605
10,3,10,3,10,True,entropy,0.743024585102
15,3,10,3,10,True,entropy,0.733469828069
20,3,10,3,10,True,entropy,0.750821122999
10,3,10,5,10,True,entropy,0.75058916296
15,3,10,5,10,True,entropy,0.75548933777
20,3,10,5,10,True,entropy,0.743532266791
10,3,10,10,10,True,entropy,0.728978231807
15,3,10,10,10,True,entropy,0.755363350659
